# for help with filling out the samples.tsv:
# https://github.com/vanheeringen-lab/snakemake-workflows/wiki/1.1-Filling-out-the-samples.tsv
# also make sure that you use tab as a delimiter
sample	assembly	descriptive_name
GSM2047323	hg38	NA19098-r1-A01
GSM2047324	hg38	NA19098-r1-A02
GSM2047325	hg38	NA19098-r1-A03
GSM2047326	hg38	NA19098-r1-A04
GSM2047327	hg38	NA19098-r1-A05
GSM2047328	hg38	NA19098-r1-A06
GSM2047329	hg38	NA19098-r1-A07
GSM2047330	hg38	NA19098-r1-A08
GSM2047331	hg38	NA19098-r1-A09
