# for help with filling out the samples.tsv:
# https://vanheeringen-lab.github.io/seq2science/content/workflows/alignment.html#filling-out-the-samples-tsv
# also make sure that you use tab as a delimiter
sample	assembly
GSM2520641	Spur_4.2
GSM2837484	Bl71nemr
