plate_well,primer_combi
nextera_J17,m721m515
nextera_K17,m721m516
nextera_L17,m721m517
nextera_M17,m721m518
nextera_N17,m721m520
nextera_O17,m721m521
nextera_P17,m721m522
nextera_A18,m722m502
nextera_B18,m722m503
nextera_C18,m722m505
nextera_D18,m722m506
nextera_E18,m722m507
nextera_F18,m722m508
nextera_G18,m722m510
nextera_H18,m722m511
nextera_I18,m722m513
nextera_J18,m722m515
nextera_K18,m722m516
nextera_L18,m722m517
nextera_M18,m722m518
nextera_N18,m722m520
nextera_O18,m722m521
nextera_P18,m722m522
nextera_A19,m723m502
nextera_B19,m723m503
nextera_C19,m723m505
nextera_D19,m723m506
nextera_E19,m723m507
nextera_F19,m723m508
nextera_G19,m723m510
nextera_H19,m723m511
nextera_I19,m723m513
nextera_J19,m723m515
nextera_K19,m723m516
nextera_L19,m723m517
nextera_M19,m723m518
nextera_N19,m723m520
nextera_O19,m723m521
nextera_P19,m723m522
nextera_A20,m724m502
nextera_B20,m724m503
nextera_C20,m724m505
nextera_D20,m724m506
nextera_E20,m724m507
nextera_F20,m724m508
nextera_G20,m724m510
nextera_H20,m724m511
nextera_I20,m724m513
nextera_J20,m724m515
nextera_K20,m724m516
nextera_L20,m724m517
nextera_M20,m724m518
nextera_N20,m724m520
nextera_O20,m724m521
nextera_P20,m724m522
nextera_A21,m726m502
nextera_B21,m726m503
nextera_C21,m726m505
nextera_D21,m726m506
nextera_E21,m726m507
nextera_F21,m726m508
nextera_G21,m726m510
nextera_H21,m726m511
nextera_I21,m726m513
nextera_J21,m726m515
nextera_K21,m726m516
nextera_L21,m726m517
nextera_M21,m726m518
nextera_N21,m726m520
nextera_O21,m726m521
nextera_P21,m726m522
nextera_A22,m727m502
nextera_B22,m727m503
nextera_C22,m727m505
nextera_D22,m727m506
nextera_E22,m727m507
nextera_F22,m727m508
nextera_G22,m727m510
nextera_H22,m727m511
nextera_I22,m727m513
nextera_J22,m727m515
nextera_K22,m727m516
nextera_L22,m727m517
nextera_M22,m727m518
nextera_N22,m727m520
nextera_O22,m727m521
nextera_P22,m727m522
nextera_A23,m728m502
nextera_B23,m728m503
nextera_C23,m728m505
nextera_D23,m728m506
nextera_E23,m728m507
nextera_F23,m728m508
nextera_G23,m728m510
nextera_H23,m728m511
nextera_I23,m728m513
nextera_J23,m728m515
nextera_K23,m728m516
nextera_L23,m728m517
nextera_M23,m728m518
nextera_N23,m728m520
nextera_O23,m728m521
nextera_P23,m728m522
nextera_A24,m729m502
nextera_B24,m729m503
nextera_C24,m729m505
nextera_D24,m729m506
nextera_E24,m729m507
nextera_F24,m729m508
nextera_G24,m729m510
nextera_H24,m729m511
nextera_I24,m729m513
nextera_J24,m729m515
nextera_K24,m729m516
nextera_L24,m729m517
nextera_M24,m729m518
nextera_N24,m729m520
nextera_O24,m729m521
nextera_P24,m729m522
GF_plate1_COL_1&2_A1,m701m2
GF_plate1_COL_1&2_B1,m701m3
GF_plate1_COL_1&2_C1,m701m14
GF_plate1_COL_1&2_D1,m701m15
GF_plate1_COL_1&2_E1,m701m26
GF_plate1_COL_1&2_F1,m701m27
GF_plate1_COL_1&2_G1,m701m38
GF_plate1_COL_1&2_H1,m701m39
GF_plate1_COL_1&2_I1,m701m50
GF_plate1_COL_1&2_J1,m701m51
GF_plate1_COL_1&2_K1,m701m62
GF_plate1_COL_1&2_L1,m701m63
GF_plate1_COL_1&2_M1,m701m74
GF_plate1_COL_1&2_N1,m701m75
GF_plate1_COL_1&2_O1,m701m86
GF_plate1_COL_1&2_P1,m701m87
GF_plate1_COL_1&2_A2,m702m2
GF_plate1_COL_1&2_B2,m702m3
GF_plate1_COL_1&2_C2,m702m14
GF_plate1_COL_1&2_D2,m702m15
GF_plate1_COL_1&2_E2,m702m26
GF_plate1_COL_1&2_F2,m702m27
GF_plate1_COL_1&2_G2,m702m38
GF_plate1_COL_1&2_H2,m702m39
GF_plate1_COL_1&2_I2,m702m50
GF_plate1_COL_1&2_J2,m702m51
GF_plate1_COL_1&2_K2,m702m62
GF_plate1_COL_1&2_L2,m702m63
GF_plate1_COL_1&2_M2,m702m74
GF_plate1_COL_1&2_N2,m702m75
GF_plate1_COL_1&2_O2,m702m86
GF_plate1_COL_1&2_P2,m702m87
GF_plate1_COL_1&2_A3,m703m2
GF_plate1_COL_1&2_B3,m703m3
