plate_well,primer_combi
GF_plate2_COL_7&8_C15,m719m116
GF_plate2_COL_7&8_D15,m719m117
GF_plate2_COL_7&8_E15,m719m128
GF_plate2_COL_7&8_F15,m719m129
GF_plate2_COL_7&8_G15,m719m140
GF_plate2_COL_7&8_H15,m719m141
GF_plate2_COL_7&8_I15,m719m152
GF_plate2_COL_7&8_J15,m719m153
GF_plate2_COL_7&8_K15,m719m164
GF_plate2_COL_7&8_L15,m719m165
GF_plate2_COL_7&8_M15,m719m176
GF_plate2_COL_7&8_N15,m719m177
GF_plate2_COL_7&8_O15,m719m188
GF_plate2_COL_7&8_P15,m719m189
GF_plate2_COL_7&8_A16,m720m104
GF_plate2_COL_7&8_B16,m720m105
GF_plate2_COL_7&8_C16,m720m116
GF_plate2_COL_7&8_D16,m720m117
GF_plate2_COL_7&8_E16,m720m128
GF_plate2_COL_7&8_F16,m720m129
GF_plate2_COL_7&8_G16,m720m140
GF_plate2_COL_7&8_H16,m720m141
GF_plate2_COL_7&8_I16,m720m152
GF_plate2_COL_7&8_J16,m720m153
GF_plate2_COL_7&8_K16,m720m164
GF_plate2_COL_7&8_L16,m720m165
GF_plate2_COL_7&8_M16,m720m176
GF_plate2_COL_7&8_N16,m720m177
GF_plate2_COL_7&8_O16,m720m188
GF_plate2_COL_7&8_P16,m720m189
GF_plate2_COL_7&8_A17,m721m104
GF_plate2_COL_7&8_B17,m721m105
GF_plate2_COL_7&8_C17,m721m116
GF_plate2_COL_7&8_D17,m721m117
GF_plate2_COL_7&8_E17,m721m128
GF_plate2_COL_7&8_F17,m721m129
GF_plate2_COL_7&8_G17,m721m140
GF_plate2_COL_7&8_H17,m721m141
GF_plate2_COL_7&8_I17,m721m152
GF_plate2_COL_7&8_J17,m721m153
GF_plate2_COL_7&8_K17,m721m164
GF_plate2_COL_7&8_L17,m721m165
GF_plate2_COL_7&8_M17,m721m176
GF_plate2_COL_7&8_N17,m721m177
GF_plate2_COL_7&8_O17,m721m188
GF_plate2_COL_7&8_P17,m721m189
GF_plate2_COL_7&8_A18,m722m104
GF_plate2_COL_7&8_B18,m722m105
GF_plate2_COL_7&8_C18,m722m116
GF_plate2_COL_7&8_D18,m722m117
GF_plate2_COL_7&8_E18,m722m128
GF_plate2_COL_7&8_F18,m722m129
GF_plate2_COL_7&8_G18,m722m140
GF_plate2_COL_7&8_H18,m722m141
GF_plate2_COL_7&8_I18,m722m152
GF_plate2_COL_7&8_J18,m722m153
GF_plate2_COL_7&8_K18,m722m164
GF_plate2_COL_7&8_L18,m722m165
GF_plate2_COL_7&8_M18,m722m176
GF_plate2_COL_7&8_N18,m722m177
GF_plate2_COL_7&8_O18,m722m188
GF_plate2_COL_7&8_P18,m722m189
GF_plate2_COL_7&8_A19,m723m104
GF_plate2_COL_7&8_B19,m723m105
GF_plate2_COL_7&8_C19,m723m116
GF_plate2_COL_7&8_D19,m723m117
GF_plate2_COL_7&8_E19,m723m128
GF_plate2_COL_7&8_F19,m723m129
GF_plate2_COL_7&8_G19,m723m140
GF_plate2_COL_7&8_H19,m723m141
GF_plate2_COL_7&8_I19,m723m152
GF_plate2_COL_7&8_J19,m723m153
GF_plate2_COL_7&8_K19,m723m164
GF_plate2_COL_7&8_L19,m723m165
GF_plate2_COL_7&8_M19,m723m176
GF_plate2_COL_7&8_N19,m723m177
GF_plate2_COL_7&8_O19,m723m188
GF_plate2_COL_7&8_P19,m723m189
GF_plate2_COL_7&8_A20,m724m104
GF_plate2_COL_7&8_B20,m724m105
GF_plate2_COL_7&8_C20,m724m116
GF_plate2_COL_7&8_D20,m724m117
GF_plate2_COL_7&8_E20,m724m128
GF_plate2_COL_7&8_F20,m724m129
GF_plate2_COL_7&8_G20,m724m140
GF_plate2_COL_7&8_H20,m724m141
GF_plate2_COL_7&8_I20,m724m152
GF_plate2_COL_7&8_J20,m724m153
GF_plate2_COL_7&8_K20,m724m164
GF_plate2_COL_7&8_L20,m724m165
GF_plate2_COL_7&8_M20,m724m176
GF_plate2_COL_7&8_N20,m724m177
GF_plate2_COL_7&8_O20,m724m188
GF_plate2_COL_7&8_P20,m724m189
GF_plate2_COL_7&8_A21,m726m104
GF_plate2_COL_7&8_B21,m726m105
GF_plate2_COL_7&8_C21,m726m116
GF_plate2_COL_7&8_D21,m726m117
GF_plate2_COL_7&8_E21,m726m128
GF_plate2_COL_7&8_F21,m726m129
GF_plate2_COL_7&8_G21,m726m140
GF_plate2_COL_7&8_H21,m726m141
GF_plate2_COL_7&8_I21,m726m152
GF_plate2_COL_7&8_J21,m726m153
GF_plate2_COL_7&8_K21,m726m164
GF_plate2_COL_7&8_L21,m726m165
GF_plate2_COL_7&8_M21,m726m176
GF_plate2_COL_7&8_N21,m726m177
GF_plate2_COL_7&8_O21,m726m188
GF_plate2_COL_7&8_P21,m726m189
GF_plate2_COL_7&8_A22,m727m104
GF_plate2_COL_7&8_B22,m727m105
GF_plate2_COL_7&8_C22,m727m116
GF_plate2_COL_7&8_D22,m727m117
GF_plate2_COL_7&8_E22,m727m128
GF_plate2_COL_7&8_F22,m727m129
GF_plate2_COL_7&8_G22,m727m140
GF_plate2_COL_7&8_H22,m727m141
GF_plate2_COL_7&8_I22,m727m152
GF_plate2_COL_7&8_J22,m727m153
GF_plate2_COL_7&8_K22,m727m164
GF_plate2_COL_7&8_L22,m727m165
GF_plate2_COL_7&8_M22,m727m176
GF_plate2_COL_7&8_N22,m727m177
GF_plate2_COL_7&8_O22,m727m188
GF_plate2_COL_7&8_P22,m727m189
GF_plate2_COL_7&8_A23,m728m104
GF_plate2_COL_7&8_B23,m728m105
GF_plate2_COL_7&8_C23,m728m116
GF_plate2_COL_7&8_D23,m728m117
GF_plate2_COL_7&8_E23,m728m128
GF_plate2_COL_7&8_F23,m728m129
GF_plate2_COL_7&8_G23,m728m140
GF_plate2_COL_7&8_H23,m728m141
GF_plate2_COL_7&8_I23,m728m152
GF_plate2_COL_7&8_J23,m728m153
GF_plate2_COL_7&8_K23,m728m164
GF_plate2_COL_7&8_L23,m728m165
GF_plate2_COL_7&8_M23,m728m176
GF_plate2_COL_7&8_N23,m728m177
GF_plate2_COL_7&8_O23,m728m188
GF_plate2_COL_7&8_P23,m728m189
GF_plate2_COL_7&8_A24,m729m104
GF_plate2_COL_7&8_B24,m729m105
GF_plate2_COL_7&8_C24,m729m116
GF_plate2_COL_7&8_D24,m729m117
GF_plate2_COL_7&8_E24,m729m128
GF_plate2_COL_7&8_F24,m729m129
GF_plate2_COL_7&8_G24,m729m140
GF_plate2_COL_7&8_H24,m729m141
GF_plate2_COL_7&8_I24,m729m152
GF_plate2_COL_7&8_J24,m729m153
GF_plate2_COL_7&8_K24,m729m164
GF_plate2_COL_7&8_L24,m729m165
GF_plate2_COL_7&8_M24,m729m176
GF_plate2_COL_7&8_N24,m729m177
GF_plate2_COL_7&8_O24,m729m188
GF_plate2_COL_7&8_P24,m729m189
GF_plate2_COL_9&10_A1,m701m106
GF_plate2_COL_9&10_B1,m701m107
GF_plate2_COL_9&10_C1,m701m118
GF_plate2_COL_9&10_D1,m701m119
GF_plate2_COL_9&10_E1,m701m130
GF_plate2_COL_9&10_F1,m701m131
GF_plate2_COL_9&10_G1,m701m142
GF_plate2_COL_9&10_H1,m701m143
GF_plate2_COL_9&10_I1,m701m154
GF_plate2_COL_9&10_J1,m701m155
GF_plate2_COL_9&10_K1,m701m166
GF_plate2_COL_9&10_L1,m701m167
GF_plate2_COL_9&10_M1,m701m178
GF_plate2_COL_9&10_N1,m701m179
GF_plate2_COL_9&10_O1,m701m190
GF_plate2_COL_9&10_P1,m701m191
GF_plate2_COL_9&10_A2,m702m106
GF_plate2_COL_9&10_B2,m702m107
GF_plate2_COL_9&10_C2,m702m118
GF_plate2_COL_9&10_D2,m702m119
GF_plate2_COL_9&10_E2,m702m130
GF_plate2_COL_9&10_F2,m702m131
GF_plate2_COL_9&10_G2,m702m142
GF_plate2_COL_9&10_H2,m702m143
GF_plate2_COL_9&10_I2,m702m154
GF_plate2_COL_9&10_J2,m702m155
GF_plate2_COL_9&10_K2,m702m166
GF_plate2_COL_9&10_L2,m702m167
GF_plate2_COL_9&10_M2,m702m178
GF_plate2_COL_9&10_N2,m702m179
GF_plate2_COL_9&10_O2,m702m190
GF_plate2_COL_9&10_P2,m702m191
GF_plate2_COL_9&10_A3,m703m106
GF_plate2_COL_9&10_B3,m703m107
GF_plate2_COL_9&10_C3,m703m118
GF_plate2_COL_9&10_D3,m703m119
GF_plate2_COL_9&10_E3,m703m130
GF_plate2_COL_9&10_F3,m703m131
GF_plate2_COL_9&10_G3,m703m142
GF_plate2_COL_9&10_H3,m703m143
GF_plate2_COL_9&10_I3,m703m154
GF_plate2_COL_9&10_J3,m703m155
GF_plate2_COL_9&10_K3,m703m166
GF_plate2_COL_9&10_L3,m703m167
GF_plate2_COL_9&10_M3,m703m178
GF_plate2_COL_9&10_N3,m703m179
GF_plate2_COL_9&10_O3,m703m190
GF_plate2_COL_9&10_P3,m703m191
GF_plate2_COL_9&10_A4,m704m106
GF_plate2_COL_9&10_B4,m704m107
GF_plate2_COL_9&10_C4,m704m118
GF_plate2_COL_9&10_D4,m704m119
GF_plate2_COL_9&10_E4,m704m130
GF_plate2_COL_9&10_F4,m704m131
GF_plate2_COL_9&10_G4,m704m142
GF_plate2_COL_9&10_H4,m704m143
GF_plate2_COL_9&10_I4,m704m154
GF_plate2_COL_9&10_J4,m704m155
GF_plate2_COL_9&10_K4,m704m166
GF_plate2_COL_9&10_L4,m704m167
GF_plate2_COL_9&10_M4,m704m178
GF_plate2_COL_9&10_N4,m704m179
GF_plate2_COL_9&10_O4,m704m190
GF_plate2_COL_9&10_P4,m704m191
GF_plate2_COL_9&10_A5,m705m106
GF_plate2_COL_9&10_B5,m705m107
GF_plate2_COL_9&10_C5,m705m118
GF_plate2_COL_9&10_D5,m705m119
GF_plate2_COL_9&10_E5,m705m130
GF_plate2_COL_9&10_F5,m705m131
GF_plate2_COL_9&10_G5,m705m142
GF_plate2_COL_9&10_H5,m705m143
GF_plate2_COL_9&10_I5,m705m154
GF_plate2_COL_9&10_J5,m705m155
GF_plate2_COL_9&10_K5,m705m166
GF_plate2_COL_9&10_L5,m705m167
GF_plate2_COL_9&10_M5,m705m178
GF_plate2_COL_9&10_N5,m705m179
GF_plate2_COL_9&10_O5,m705m190
GF_plate2_COL_9&10_P5,m705m191
GF_plate2_COL_9&10_A6,m706m106
GF_plate2_COL_9&10_B6,m706m107
GF_plate2_COL_9&10_C6,m706m118
GF_plate2_COL_9&10_D6,m706m119
GF_plate2_COL_9&10_E6,m706m130
GF_plate2_COL_9&10_F6,m706m131
GF_plate2_COL_9&10_G6,m706m142
GF_plate2_COL_9&10_H6,m706m143
GF_plate2_COL_9&10_I6,m706m154
GF_plate2_COL_9&10_J6,m706m155
GF_plate2_COL_9&10_K6,m706m166
GF_plate2_COL_9&10_L6,m706m167
GF_plate2_COL_9&10_M6,m706m178
GF_plate2_COL_9&10_N6,m706m179
GF_plate2_COL_9&10_O6,m706m190
GF_plate2_COL_9&10_P6,m706m191
GF_plate2_COL_9&10_A7,m707m106
GF_plate2_COL_9&10_B7,m707m107
GF_plate2_COL_9&10_C7,m707m118
GF_plate2_COL_9&10_D7,m707m119
GF_plate2_COL_9&10_E7,m707m130
GF_plate2_COL_9&10_F7,m707m131
GF_plate2_COL_9&10_G7,m707m142
GF_plate2_COL_9&10_H7,m707m143
GF_plate2_COL_9&10_I7,m707m154
GF_plate2_COL_9&10_J7,m707m155
GF_plate2_COL_9&10_K7,m707m166
GF_plate2_COL_9&10_L7,m707m167
GF_plate2_COL_9&10_M7,m707m178
GF_plate2_COL_9&10_N7,m707m179
GF_plate2_COL_9&10_O7,m707m190
GF_plate2_COL_9&10_P7,m707m191
GF_plate2_COL_9&10_A8,m710m106
GF_plate2_COL_9&10_B8,m710m107
GF_plate2_COL_9&10_C8,m710m118
GF_plate2_COL_9&10_D8,m710m119
GF_plate2_COL_9&10_E8,m710m130
GF_plate2_COL_9&10_F8,m710m131
GF_plate2_COL_9&10_G8,m710m142
GF_plate2_COL_9&10_H8,m710m143
GF_plate2_COL_9&10_I8,m710m154
GF_plate2_COL_9&10_J8,m710m155
GF_plate2_COL_9&10_K8,m710m166
GF_plate2_COL_9&10_L8,m710m167
GF_plate2_COL_9&10_M8,m710m178
GF_plate2_COL_9&10_N8,m710m179
GF_plate2_COL_9&10_O8,m710m190
GF_plate2_COL_9&10_P8,m710m191
GF_plate2_COL_9&10_A9,m711m106
GF_plate2_COL_9&10_B9,m711m107
GF_plate2_COL_9&10_C9,m711m118
GF_plate2_COL_9&10_D9,m711m119
GF_plate2_COL_9&10_E9,m711m130
GF_plate2_COL_9&10_F9,m711m131
GF_plate2_COL_9&10_G9,m711m142
GF_plate2_COL_9&10_H9,m711m143
GF_plate2_COL_9&10_I9,m711m154
GF_plate2_COL_9&10_J9,m711m155
GF_plate2_COL_9&10_K9,m711m166
GF_plate2_COL_9&10_L9,m711m167
GF_plate2_COL_9&10_M9,m711m178
GF_plate2_COL_9&10_N9,m711m179
GF_plate2_COL_9&10_O9,m711m190
GF_plate2_COL_9&10_P9,m711m191
GF_plate2_COL_9&10_A10,m712m106
GF_plate2_COL_9&10_B10,m712m107
GF_plate2_COL_9&10_C10,m712m118
GF_plate2_COL_9&10_D10,m712m119
GF_plate2_COL_9&10_E10,m712m130
GF_plate2_COL_9&10_F10,m712m131
GF_plate2_COL_9&10_G10,m712m142
GF_plate2_COL_9&10_H10,m712m143
GF_plate2_COL_9&10_I10,m712m154
GF_plate2_COL_9&10_J10,m712m155
GF_plate2_COL_9&10_K10,m712m166
GF_plate2_COL_9&10_L10,m712m167
GF_plate2_COL_9&10_M10,m712m178
GF_plate2_COL_9&10_N10,m712m179
GF_plate2_COL_9&10_O10,m712m190
GF_plate2_COL_9&10_P10,m712m191
GF_plate2_COL_9&10_A11,m714m106
GF_plate2_COL_9&10_B11,m714m107
GF_plate2_COL_9&10_C11,m714m118
GF_plate2_COL_9&10_D11,m714m119
GF_plate2_COL_9&10_E11,m714m130
GF_plate2_COL_9&10_F11,m714m131
GF_plate2_COL_9&10_G11,m714m142
GF_plate2_COL_9&10_H11,m714m143
GF_plate2_COL_9&10_I11,m714m154
GF_plate2_COL_9&10_J11,m714m155
GF_plate2_COL_9&10_K11,m714m166
GF_plate2_COL_9&10_L11,m714m167
GF_plate2_COL_9&10_M11,m714m178
GF_plate2_COL_9&10_N11,m714m179
GF_plate2_COL_9&10_O11,m714m190
GF_plate2_COL_9&10_P11,m714m191
GF_plate2_COL_9&10_A12,m715m106
GF_plate2_COL_9&10_B12,m715m107
GF_plate2_COL_9&10_C12,m715m118
GF_plate2_COL_9&10_D12,m715m119
GF_plate2_COL_9&10_E12,m715m130
GF_plate2_COL_9&10_F12,m715m131
GF_plate2_COL_9&10_G12,m715m142
GF_plate2_COL_9&10_H12,m715m143
GF_plate2_COL_9&10_I12,m715m154
GF_plate2_COL_9&10_J12,m715m155
GF_plate2_COL_9&10_K12,m715m166
GF_plate2_COL_9&10_L12,m715m167
GF_plate2_COL_9&10_M12,m715m178
GF_plate2_COL_9&10_N12,m715m179
GF_plate2_COL_9&10_O12,m715m190
GF_plate2_COL_9&10_P12,m715m191
GF_plate2_COL_9&10_A13,m716m106
GF_plate2_COL_9&10_B13,m716m107
GF_plate2_COL_9&10_C13,m716m118
GF_plate2_COL_9&10_D13,m716m119
GF_plate2_COL_9&10_E13,m716m130
GF_plate2_COL_9&10_F13,m716m131
GF_plate2_COL_9&10_G13,m716m142
GF_plate2_COL_9&10_H13,m716m143
GF_plate2_COL_9&10_I13,m716m154
GF_plate2_COL_9&10_J13,m716m155
GF_plate2_COL_9&10_K13,m716m166
GF_plate2_COL_9&10_L13,m716m167
GF_plate2_COL_9&10_M13,m716m178
GF_plate2_COL_9&10_N13,m716m179
GF_plate2_COL_9&10_O13,m716m190
GF_plate2_COL_9&10_P13,m716m191
GF_plate2_COL_9&10_A14,m718m106
GF_plate2_COL_9&10_B14,m718m107
GF_plate2_COL_9&10_C14,m718m118
GF_plate2_COL_9&10_D14,m718m119
GF_plate2_COL_9&10_E14,m718m130
GF_plate2_COL_9&10_F14,m718m131
GF_plate2_COL_9&10_G14,m718m142
GF_plate2_COL_9&10_H14,m718m143
GF_plate2_COL_9&10_I14,m718m154
GF_plate2_COL_9&10_J14,m718m155
GF_plate2_COL_9&10_K14,m718m166
GF_plate2_COL_9&10_L14,m718m167
GF_plate2_COL_9&10_M14,m718m178
GF_plate2_COL_9&10_N14,m718m179
GF_plate2_COL_9&10_O14,m718m190
GF_plate2_COL_9&10_P14,m718m191
GF_plate2_COL_9&10_A15,m719m106
GF_plate2_COL_9&10_B15,m719m107
GF_plate2_COL_9&10_C15,m719m118
GF_plate2_COL_9&10_D15,m719m119
GF_plate2_COL_9&10_E15,m719m130
GF_plate2_COL_9&10_F15,m719m131
GF_plate2_COL_9&10_G15,m719m142
GF_plate2_COL_9&10_H15,m719m143
GF_plate2_COL_9&10_I15,m719m154
GF_plate2_COL_9&10_J15,m719m155
GF_plate2_COL_9&10_K15,m719m166
GF_plate2_COL_9&10_L15,m719m167
GF_plate2_COL_9&10_M15,m719m178
GF_plate2_COL_9&10_N15,m719m179
GF_plate2_COL_9&10_O15,m719m190
GF_plate2_COL_9&10_P15,m719m191
GF_plate2_COL_9&10_A16,m720m106
GF_plate2_COL_9&10_B16,m720m107
GF_plate2_COL_9&10_C16,m720m118
GF_plate2_COL_9&10_D16,m720m119
GF_plate2_COL_9&10_E16,m720m130
GF_plate2_COL_9&10_F16,m720m131
GF_plate2_COL_9&10_G16,m720m142
GF_plate2_COL_9&10_H16,m720m143
GF_plate2_COL_9&10_I16,m720m154
GF_plate2_COL_9&10_J16,m720m155
GF_plate2_COL_9&10_K16,m720m166
GF_plate2_COL_9&10_L16,m720m167
GF_plate2_COL_9&10_M16,m720m178
GF_plate2_COL_9&10_N16,m720m179
GF_plate2_COL_9&10_O16,m720m190
GF_plate2_COL_9&10_P16,m720m191
GF_plate2_COL_9&10_A17,m721m106
GF_plate2_COL_9&10_B17,m721m107
GF_plate2_COL_9&10_C17,m721m118
GF_plate2_COL_9&10_D17,m721m119
GF_plate2_COL_9&10_E17,m721m130
GF_plate2_COL_9&10_F17,m721m131
GF_plate2_COL_9&10_G17,m721m142
GF_plate2_COL_9&10_H17,m721m143
GF_plate2_COL_9&10_I17,m721m154
GF_plate2_COL_9&10_J17,m721m155
GF_plate2_COL_9&10_K17,m721m166
GF_plate2_COL_9&10_L17,m721m167
GF_plate2_COL_9&10_M17,m721m178
GF_plate2_COL_9&10_N17,m721m179
GF_plate2_COL_9&10_O17,m721m190
GF_plate2_COL_9&10_P17,m721m191
GF_plate2_COL_9&10_A18,m722m106
GF_plate2_COL_9&10_B18,m722m107
GF_plate2_COL_9&10_C18,m722m118
GF_plate2_COL_9&10_D18,m722m119
GF_plate2_COL_9&10_E18,m722m130
GF_plate2_COL_9&10_F18,m722m131
GF_plate2_COL_9&10_G18,m722m142
GF_plate2_COL_9&10_H18,m722m143
GF_plate2_COL_9&10_I18,m722m154
GF_plate2_COL_9&10_J18,m722m155
GF_plate2_COL_9&10_K18,m722m166
GF_plate2_COL_9&10_L18,m722m167
GF_plate2_COL_9&10_M18,m722m178
GF_plate2_COL_9&10_N18,m722m179
GF_plate2_COL_9&10_O18,m722m190
GF_plate2_COL_9&10_P18,m722m191
GF_plate2_COL_9&10_A19,m723m106
GF_plate2_COL_9&10_B19,m723m107
GF_plate2_COL_9&10_C19,m723m118
GF_plate2_COL_9&10_D19,m723m119
GF_plate2_COL_9&10_E19,m723m130
GF_plate2_COL_9&10_F19,m723m131
GF_plate2_COL_9&10_G19,m723m142
GF_plate2_COL_9&10_H19,m723m143
GF_plate2_COL_9&10_I19,m723m154
GF_plate2_COL_9&10_J19,m723m155
GF_plate2_COL_9&10_K19,m723m166
GF_plate2_COL_9&10_L19,m723m167
GF_plate2_COL_9&10_M19,m723m178
GF_plate2_COL_9&10_N19,m723m179
GF_plate2_COL_9&10_O19,m723m190
GF_plate2_COL_9&10_P19,m723m191
GF_plate2_COL_9&10_A20,m724m106
GF_plate2_COL_9&10_B20,m724m107
GF_plate2_COL_9&10_C20,m724m118
GF_plate2_COL_9&10_D20,m724m119
GF_plate2_COL_9&10_E20,m724m130
GF_plate2_COL_9&10_F20,m724m131
GF_plate2_COL_9&10_G20,m724m142
GF_plate2_COL_9&10_H20,m724m143
GF_plate2_COL_9&10_I20,m724m154
GF_plate2_COL_9&10_J20,m724m155
GF_plate2_COL_9&10_K20,m724m166
GF_plate2_COL_9&10_L20,m724m167
GF_plate2_COL_9&10_M20,m724m178
GF_plate2_COL_9&10_N20,m724m179
GF_plate2_COL_9&10_O20,m724m190
GF_plate2_COL_9&10_P20,m724m191
GF_plate2_COL_9&10_A21,m726m106
GF_plate2_COL_9&10_B21,m726m107
GF_plate2_COL_9&10_C21,m726m118
GF_plate2_COL_9&10_D21,m726m119
GF_plate2_COL_9&10_E21,m726m130
GF_plate2_COL_9&10_F21,m726m131
GF_plate2_COL_9&10_G21,m726m142
GF_plate2_COL_9&10_H21,m726m143
GF_plate2_COL_9&10_I21,m726m154
GF_plate2_COL_9&10_J21,m726m155
GF_plate2_COL_9&10_K21,m726m166
GF_plate2_COL_9&10_L21,m726m167
GF_plate2_COL_9&10_M21,m726m178
GF_plate2_COL_9&10_N21,m726m179
GF_plate2_COL_9&10_O21,m726m190
GF_plate2_COL_9&10_P21,m726m191
GF_plate2_COL_9&10_A22,m727m106
GF_plate2_COL_9&10_B22,m727m107
GF_plate2_COL_9&10_C22,m727m118
GF_plate2_COL_9&10_D22,m727m119
GF_plate2_COL_9&10_E22,m727m130
GF_plate2_COL_9&10_F22,m727m131
GF_plate2_COL_9&10_G22,m727m142
GF_plate2_COL_9&10_H22,m727m143
GF_plate2_COL_9&10_I22,m727m154
GF_plate2_COL_9&10_J22,m727m155
GF_plate2_COL_9&10_K22,m727m166
GF_plate2_COL_9&10_L22,m727m167
GF_plate2_COL_9&10_M22,m727m178
GF_plate2_COL_9&10_N22,m727m179
GF_plate2_COL_9&10_O22,m727m190
GF_plate2_COL_9&10_P22,m727m191
GF_plate2_COL_9&10_A23,m728m106
GF_plate2_COL_9&10_B23,m728m107
GF_plate2_COL_9&10_C23,m728m118
GF_plate2_COL_9&10_D23,m728m119
GF_plate2_COL_9&10_E23,m728m130
GF_plate2_COL_9&10_F23,m728m131
GF_plate2_COL_9&10_G23,m728m142
GF_plate2_COL_9&10_H23,m728m143
GF_plate2_COL_9&10_I23,m728m154
GF_plate2_COL_9&10_J23,m728m155
GF_plate2_COL_9&10_K23,m728m166
GF_plate2_COL_9&10_L23,m728m167
GF_plate2_COL_9&10_M23,m728m178
GF_plate2_COL_9&10_N23,m728m179
GF_plate2_COL_9&10_O23,m728m190
GF_plate2_COL_9&10_P23,m728m191
GF_plate2_COL_9&10_A24,m729m106
GF_plate2_COL_9&10_B24,m729m107
GF_plate2_COL_9&10_C24,m729m118
GF_plate2_COL_9&10_D24,m729m119
GF_plate2_COL_9&10_E24,m729m130
GF_plate2_COL_9&10_F24,m729m131
GF_plate2_COL_9&10_G24,m729m142
GF_plate2_COL_9&10_H24,m729m143
GF_plate2_COL_9&10_I24,m729m154
GF_plate2_COL_9&10_J24,m729m155
GF_plate2_COL_9&10_K24,m729m166
GF_plate2_COL_9&10_L24,m729m167
GF_plate2_COL_9&10_M24,m729m178
GF_plate2_COL_9&10_N24,m729m179
GF_plate2_COL_9&10_O24,m729m190
GF_plate2_COL_9&10_P24,m729m191
GF_plate2_COL_11&12_A1,m701m108
GF_plate2_COL_11&12_B1,m701m109
GF_plate2_COL_11&12_C1,m701m120
GF_plate2_COL_11&12_D1,m701m121
GF_plate2_COL_11&12_E1,m701m132
GF_plate2_COL_11&12_F1,m701m133
GF_plate2_COL_11&12_G1,m701m144
GF_plate2_COL_11&12_H1,m701m145
GF_plate2_COL_11&12_I1,m701m156
GF_plate2_COL_11&12_J1,m701m157
GF_plate2_COL_11&12_K1,m701m168
GF_plate2_COL_11&12_L1,m701m169
GF_plate2_COL_11&12_M1,m701m180
GF_plate2_COL_11&12_N1,m701m181
GF_plate2_COL_11&12_O1,m701m192
GF_plate2_COL_11&12_P1,m701m193
GF_plate2_COL_11&12_A2,m702m108
GF_plate2_COL_11&12_B2,m702m109
GF_plate2_COL_11&12_C2,m702m120
GF_plate2_COL_11&12_D2,m702m121
GF_plate2_COL_11&12_E2,m702m132
GF_plate2_COL_11&12_F2,m702m133
GF_plate2_COL_11&12_G2,m702m144
GF_plate2_COL_11&12_H2,m702m145
GF_plate2_COL_11&12_I2,m702m156
GF_plate2_COL_11&12_J2,m702m157
GF_plate2_COL_11&12_K2,m702m168
GF_plate2_COL_11&12_L2,m702m169
GF_plate2_COL_11&12_M2,m702m180
GF_plate2_COL_11&12_N2,m702m181
GF_plate2_COL_11&12_O2,m702m192
GF_plate2_COL_11&12_P2,m702m193
GF_plate2_COL_11&12_A3,m703m108
GF_plate2_COL_11&12_B3,m703m109
GF_plate2_COL_11&12_C3,m703m120
GF_plate2_COL_11&12_D3,m703m121
GF_plate2_COL_11&12_E3,m703m132
GF_plate2_COL_11&12_F3,m703m133
GF_plate2_COL_11&12_G3,m703m144
GF_plate2_COL_11&12_H3,m703m145
GF_plate2_COL_11&12_I3,m703m156
GF_plate2_COL_11&12_J3,m703m157
GF_plate2_COL_11&12_K3,m703m168
GF_plate2_COL_11&12_L3,m703m169
GF_plate2_COL_11&12_M3,m703m180
GF_plate2_COL_11&12_N3,m703m181
GF_plate2_COL_11&12_O3,m703m192
GF_plate2_COL_11&12_P3,m703m193
GF_plate2_COL_11&12_A4,m704m108
GF_plate2_COL_11&12_B4,m704m109
GF_plate2_COL_11&12_C4,m704m120
GF_plate2_COL_11&12_D4,m704m121
GF_plate2_COL_11&12_E4,m704m132
GF_plate2_COL_11&12_F4,m704m133
GF_plate2_COL_11&12_G4,m704m144
GF_plate2_COL_11&12_H4,m704m145
GF_plate2_COL_11&12_I4,m704m156
GF_plate2_COL_11&12_J4,m704m157
GF_plate2_COL_11&12_K4,m704m168
GF_plate2_COL_11&12_L4,m704m169
GF_plate2_COL_11&12_M4,m704m180
GF_plate2_COL_11&12_N4,m704m181
GF_plate2_COL_11&12_O4,m704m192
GF_plate2_COL_11&12_P4,m704m193
GF_plate2_COL_11&12_A5,m705m108
GF_plate2_COL_11&12_B5,m705m109
GF_plate2_COL_11&12_C5,m705m120
GF_plate2_COL_11&12_D5,m705m121
GF_plate2_COL_11&12_E5,m705m132
GF_plate2_COL_11&12_F5,m705m133
GF_plate2_COL_11&12_G5,m705m144
GF_plate2_COL_11&12_H5,m705m145
GF_plate2_COL_11&12_I5,m705m156
GF_plate2_COL_11&12_J5,m705m157
GF_plate2_COL_11&12_K5,m705m168
GF_plate2_COL_11&12_L5,m705m169
GF_plate2_COL_11&12_M5,m705m180
GF_plate2_COL_11&12_N5,m705m181
GF_plate2_COL_11&12_O5,m705m192
GF_plate2_COL_11&12_P5,m705m193
GF_plate2_COL_11&12_A6,m706m108
GF_plate2_COL_11&12_B6,m706m109
GF_plate2_COL_11&12_C6,m706m120
GF_plate2_COL_11&12_D6,m706m121
GF_plate2_COL_11&12_E6,m706m132
GF_plate2_COL_11&12_F6,m706m133
GF_plate2_COL_11&12_G6,m706m144
GF_plate2_COL_11&12_H6,m706m145
GF_plate2_COL_11&12_I6,m706m156
GF_plate2_COL_11&12_J6,m706m157
GF_plate2_COL_11&12_K6,m706m168
GF_plate2_COL_11&12_L6,m706m169
GF_plate2_COL_11&12_M6,m706m180
