sample;genome;spike-ins;timepoint;library
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_A17;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J1;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I10;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_H7;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_F22;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_D24;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_C23;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M1;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_F18;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_A5;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_M24;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_D2;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I8;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_I14;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J12;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_P13;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_C7;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_C3;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_H13;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_P21;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_D11;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_J19;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O6;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_P19;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_O14;GRCh38;ERCC92;d10;820
GRCh38_ERCC92_velo_CMdiff_d10_820_Z31-S5_F1;GRCh38;ERCC92;d10;820
